 ,inathu,yinathu,LLinathu,inathu,yinathu,nninathu,llinathu,inathu,ninathu,inathu,ththinathathu,inathu,dinathu,inathu,inathu,Ninathu,RRinathu,Sinathu,inathu,yinathu,zinathu,vinathu,inathu
 ,inkaN,yinkaN,LLinkaN,inkaN,yinkaN,nninkaN,llinkaN,inkaN,ninkaN,inkaN,ththinkaN,inkaN,dinkaN,inkaN,inkaN,NinkaN,RRinkaN,SinkaN,inkaN,yinkaN,zinkaN,vinkaN,inkaN
 ,athukaN,yathukaN,LLathukaN,athukaN,yathukaN,nnathukaN,llathukaN,athukaN,nathukaN,athukaN,thththukaN,athukaN,dathukaN,athukaN,athukaN,NathukaN,RathukaN,SathukaN,athukaN,yathukaN,zathukaN,vathukaN,athukaN
 ,ukkAka,kkAka,LLukkAka,kkAka,yikkAka,nnukkAka,llukkAka,ukkAka,nukkAka,ukkAka,ththukkAka,ukkAka,dukkAka ,ukkAka,ukkAka,NukkAka,RRukkAka,SukkAka,ukkAka,yikkAka,zukkAka,vukkAka,ukkAka
 ,AlAna,yAlAna,LLAlAna,AlAna,yAlAna,nnAlAna,llAlAna,AlAna,nAlAna,AlAna,ththAlAna,AlAna,dAlAna,AlAna,AlAna,NAlAna,RRAlAna,SAlAna,AlAna,yAlAna,zAlAna,vAlAna,AlAna
 ,udaiya,yudaiya,LLudaiya,udaiya,yudaiya,nnudaiya,lludaiya,udaiya,nudaiya,udaiya,ththudaiya,udaiya,dudaiya,udaiya,udaiya,Nudaiya,ththudaiya,yudaiya,udaiya,yudaiya,zudaiya,vudaiya,udaiya
 ,inudaiya,yinudaiya,LLinudaiya,inudaiya,yinudaiya,nninudaiya,llinudaiya,inudaiya,ninudaiya,inudaiya,ththinudaiya,inudaiya,dinudaiya,inudaiya,inudaiya,Ninudaiya,RRinudaya,Sinudaiya,inudaiya,yinudaiya,zinudaiya,vinudaiya,inudaiya
 ,il,yil,LLil,il,yil,nnil,llil,il,ril,il,ththil,il,dil,il,il,Nil,RRil,Sil,il,yil,zil,vil,il
 ,inil,yinil,LLinil,inil,yinil,nninil,llinil,inil,nil,inil,ththinil,inil,dinil,inil,inil,Ninil,RRinil,Sinil,inil,yinil,zinil,vinil,inil
 ,udan,yudan,LLudan,udan,yudan,nnudan,lludan,udan,nudan,udan,ththudan,udan,dudan,udan,udan,Nudan,RRudan,Sudan,udan,yudan,zudan,vudan,udan
 ,inudan,yinudan,LLinudan,inudan,yinudan,nninudan,llinudan,inudan,ninudan,inudan,ththinudan,inudan,dinudan,inudan,inudan,Ninudan,RRinudan,Sinudan,inudan,yinudan,zinudan,vinudan,inudan
 ,uvaraikkum,varaikkum,Lvaraikkum,varaikkum,varaikkum,nvaraikkum,lvaraikkum,varaikkum,nvaraikkum,uvaraikkum,mvaraikkum,varaikkum,uvaraikkum,varaikkum,varaikkum,varaikkum,Ruvaraikkum,varaikkum,varaikkum,varaikkum,zvaraikkum,varaikkum,varaikkum
 ,uvaraiyil,varaiyil,Lvaraiyil,varaiyil,varaiyil,nvaraiyil,lvaraiyil,varaiyil,nvaraiyil,uvaraiyil,mvaraiyil,varaiyil,uvaraiyil,varaiyil,varaiyil,varaiyil,Ruvaraiyil,varaiyil,varaiyil,varaiyil,lvaraiyil,varaiyil,varaiyil
 ,invarai,yinvarai,LLinvarai,invarai,yinvarai,nninvarai,llinvarai,invarai,ninvarai,invarai,ththinvarai,invarai,dinvarai,invarai,invarai,Ninvarai,RRinvarai,Sinvarai,invarai,yinvarai,zinvarai,vinvarai,invarai
 ,illAmal,yillAmal,LLillAmal,illAmal,yillAmal,nnillAmal,llillAmal,illAmal,nillAmal              ,illAmal,millAmal,illAmal,illAmal,illAmal,illAmal,NillAmal,RillAmal,SillAmal,illAmal,yillAmal,zillAmal,villAmal,illAmal
